Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
3,80% Bundesanl. 2012-2062/1;117.880;-0.23%-0.270;03/11/202410:00:04;AT0000A0U299;-;117.8601,000,000;118.2601,000,000;01/26/2062;q
6,25% Bundesanl. 1997-2027/6;111.250;-0.04%-0.050;03/11/202410:00:03;AT0000383864;-;111.2401,000,000;111.3401,000,000;07/15/2027;q
4,85% Bundesanl. 2009-2026/2;103.830;-0.05%-0.050;03/11/202410:00:03;AT0000A0DXC2;-;103.8301,000,000;103.9201,000,000;03/15/2026;q
2,40% Bundesanl. 2013-2034/1;96.800;-0.19%-0.180;03/11/202410:00:00;AT0000A10683;-;96.7201,000,000;96.8701,000,000;05/23/2034;q
4,15% Bundesanl. 2007-2037/1;113.580;-0.13%-0.150;03/11/202410:00:00;AT0000A04967;-;113.4901,000,000;113.640990,000;03/15/2037;q
0,00% Bundesanl. 2020-2030/1;85.870;-0.08%-0.070;03/11/202410:00:00;AT0000A2CQD2;-;85.8001,000,000;85.9501,000,000;02/20/2030;q
0,50% Bundesanl. 2019-2029/1;90.400;-0.10%-0.090;03/11/202410:00:00;AT0000A269M8;-;90.3301,000,000;90.4301,000,000;02/20/2029;q
2,00% Bundesanl. 2022-2026/4;98.240;-0.04%-0.040;03/11/202410:00:00;AT0000A308C5;-;98.2001,000,000;98.3001,000,000;07/15/2026;q
0,70% Bundesanl. 2021-2071/2;46.780;-0.17%-0.080;03/11/202410:00:00;AT0000A2QQB6;-;46.730500,000;47.730500,000;04/20/2071;q
3,15% Bundesanl. 2012-2044/4;102.580;-0.17%-0.170;03/11/202410:00:00;AT0000A0VRQ6;-;102.5101,000,000;102.750975,000;06/20/2044;q
0,00% Bundesanl. 2021-2031/1;83.390;-0.11%-0.090;03/11/202410:00:00;AT0000A2NW83;-;83.2801,000,000;83.4301,000,000;02/20/2031;q
2,00% Bundesanl. 2022-2026/4;98.240;-0.04%-0.040;03/11/202410:00:00;AT0000A308C5;-;98.2001,000,000;98.3001,000,000;07/15/2026;q
2,10% Bundesanl. 2017-2117/3;78.270;-0.19%-0.150;03/11/202410:00:00;AT0000A1XML2;-;78.50080,000;79.510500,000;09/20/2117;q
3,15% Bundesanl. 2012-2044/4;102.580;-0.17%-0.170;03/11/202410:00:00;AT0000A0VRQ6;-;102.5101,000,000;102.750975,000;06/20/2044;q
0,50% Bundesanl. 2017-2027/1;93.610;-0.02%-0.020;03/11/202410:00:00;AT0000A1VGK0;-;93.5401,000,000;93.6401,000,000;04/20/2027;q
1,20% Bundesanl. 2015-2025/1;97.210;-0.02%-0.020;03/11/202410:00:00;AT0000A1FAP5;-;97.1701,000,000;97.2701,000,000;10/20/2025;q
1,65% Bundesanl. 2014-2024/1;98.830;0.00%0.000;03/11/202410:00:00;AT0000A185T1;-;98.8301,000,000;98.9301,000,000;10/21/2024;q
0,70% Bundesanl. 2021-2071/2;46.780;-0.17%-0.080;03/11/202410:00:00;AT0000A2QQB6;-;46.730500,000;47.730500,000;04/20/2071;q
21Shares AG EthereumETP/S.AETH;40.510;+1.28%+0.510;03/11/202409:57:37;CH0454664027;810;40.8401,000;40.920600;open-end;q
HYP.W WB.WDL 13-26/10;99.100;+0.51%+0.500;03/11/202409:42:20;AT0000A0ZDU9;2,200;99.100700;99.550-;03/20/2026;q
