Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
02/29/2024 11:30:18;Delta Option Trade;YMAZ;Jul24;3800;P;100;22.25;11431;3990
02/29/2024 10:46:44;Structured Trade;WMAZ;Jul24;4400;C;300;30;41593.58;4603.6
02/29/2024 09:55:04;Structured Option Trade;WMAZ;Jul24;4200;C;10;30.5;54620;4605
02/29/2024 09:41:18;Delta Option Trade;WMAZ;Jul24;4660;C;12;30.39;28450;4595
02/29/2024 10:37:54;Delta Option Trade;WMAZ;Jul24;4900;C;3;30.22;19700;4607
02/29/2024 10:38:15;Delta Option Trade;WMAZ;Jul24;4600;P;3;30.8;31500;4607
02/29/2024 11:12:01;Delta Option Trade;WMAZ;Jul24;4600;P;10;30;31704.75;4585
02/29/2024 11:49:02;Delta Option Trade;WMAZ;Jul24;4400;P;6;30.15;21400;4603
02/29/2024 11:49:19;Delta Option Trade;WMAZ;Jul24;4300;P;86;30.17;17400;4603
02/29/2024 11:49:33;Delta Option Trade;WMAZ;Jul24;4240;P;5;30.13;15200;4603
02/29/2024 11:49:52;Delta Option Trade;WMAZ;Jul24;4560;P;7;30.22;29000;4603
02/29/2024 09:55:04;Structured Option Trade;WMAZ;Jul24;4600;C;10;30;31267;4605
02/29/2024 10:46:59;Structured Trade;WMAZ;Jul24;4800;C;150;31;23847.51;4603.6
02/29/2024 09:22:01;Delta Option Trade;YMAZ;Jul24;3800;P;3;25.35;13700;3998
02/29/2024 09:22:31;Delta Option Trade;SOYA;May24;8240;C;10;25;15945;8240
02/29/2024 10:22:49;Delta Option Trade;SOYA;May24;8200;C;2;25;16023;8206
02/29/2024 10:22:05;Delta Option Trade;WMAZ;Jul24;4620;C;15;30.75;31737;4616.75
02/29/2024 09:50:08;Delta Option Trade;WMAZ;Jul24;4600;P;5;30.75;32476;4585
02/29/2024 10:26:12;Delta Option Trade;WMAZ;Jul24;4600;P;20;30.75;31919;4596.87
02/29/2024 09:50:05;Delta Option Trade;WMAZ;Jul24;4900;C;5;30.75;19377;4585
02/29/2024 09:51:24;Delta Option Trade;WMAZ;Jul24;4260;P;2;29.75;15676;4599
02/29/2024 09:57:38;Delta Option Trade;YMAZ;Jul24;3600;P;10;23.25;5633;4015.8
02/29/2024 10:38:16;Delta Option Trade;SOYA;May24;7700;P;1;22;4551;8200
02/29/2024 11:07:25;Delta Option Trade;WMAZ;Jul24;4000;P;50;29.75;8140;4599.66
02/29/2024 11:37:44;Delta Option Trade;YMAZ;Jul24;3760;C;12;22.5;32572;3981.02
02/29/2024 10:24:30;Delta Option Trade;WMAZ;Jul24;4200;P;4;29.75;13351;4610
02/29/2024 11:35:13;Delta Option Trade;WMAZ;Jul24;5000;C;10;31.75;17865;4600
02/29/2024 11:36:10;Delta Option Trade;YMAZ;Dec24;3900;P;100;21;17923;4157
02/29/2024 09:53:31;Delta Option Trade;WMAZ;Jul24;4500;C;5;29.75;34796;4585
02/29/2024 10:26:10;Delta Option Trade;WMAZ;Jul24;5000;C;20;30.75;16797;4596.87
02/29/2024 11:03:47;Delta Option Trade;WMAZ;Jul24;4340;P;1;29.75;18748;4597
02/29/2024 11:35:45;Delta Option Trade;YMAZ;Jul24;3800;P;100;22.25;11269;3995
02/29/2024 10:19:49;Delta Option Trade;SOYA;May24;8200;C;26;24;15207.05;8199
02/29/2024 10:20:26;Delta Option Trade;SOYA;May24;7700;P;26;23;5037;8199
02/29/2024 11:28:14;Delta Option Trade;WMAZ;Jul24;4500;C;5;30.47;30800;4500
02/29/2024 09:52:21;Delta Option Trade;WMAZ;Jul24;3840;P;31;28.86;4500;4608
02/29/2024 09:53:20;Delta Option Trade;WMAZ;Jul24;4160;P;5;29.05;11600;4608
02/29/2024 11:46:59;Delta Option Trade;WMAZ;Jul24;3900;P;100;28;6263;4518
02/29/2024 10:50:04;Delta Option Trade;YMAZ;Jul24;4200;C;5;24.5;14675;4018
