Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HVbg 3,25% Anleihe 24-29/S.270;99.150;+0.41%+0.400;03/11/202417:01:36;AT0000A39K95;-;--;--;01/15/2029;D
HVbg 3,75%  Anl 23-27/S.261;99.850;-0.20%-0.200;03/11/202417:01:35;AT0000A34824;-;--;--;10/05/2027;D
HVbg 3,70% Anleihe 23-28/S.265;99.800;-0.20%-0.200;03/11/202417:01:35;AT0000A36X77;-;--;--;09/11/2028;D
HVbg 3,70% Anleihe 23-26/S.264;99.500;-0.10%-0.100;03/11/202417:01:35;AT0000A36X69;-;--;--;09/11/2026;D
HVbg 3,75% Anl 23-25/DIP S.258;98.800;-0.05%-0.050;03/11/202417:01:35;AT0000A32T77;-;--;--;03/27/2025;D
HVbg 3,75%  Anl 23-27/S.261;99.850;-0.20%-0.200;03/11/202417:01:35;AT0000A34824;-;--;--;10/05/2027;D
HVbg 3,70% Anleihe 23-28/S.265;99.800;-0.20%-0.200;03/11/202417:01:35;AT0000A36X77;-;--;--;09/11/2028;D
HVbg 3,70% Anleihe 23-26/S.264;99.500;-0.10%-0.100;03/11/202417:01:35;AT0000A36X69;-;--;--;09/11/2026;D
HVbg 3,75% Anl 23-25/DIP S.258;98.800;-0.05%-0.050;03/11/202417:01:35;AT0000A32T77;-;--;--;03/27/2025;D
HVbg 2,25% Anl.22-25/DIP S.241;96.600;-0.05%-0.050;03/11/202417:01:34;AT0000A2Z922;-;--;--;09/16/2025;D
HVbg MiniMax-Anl. 22-27/S.237;96.150;-0.05%-0.050;03/11/202417:01:34;AT0000A2YBF3;-;--;--;06/30/2027;D
HVbg 3,5%KMU22-27 II/DIP S.251;99.650;-0.15%-0.150;03/11/202417:01:34;AT0000A32182;-;--;--;01/27/2027;D
HVbg 2,125% Anl. 22-26/S.243;95.900;-0.10%-0.100;03/11/202417:01:34;AT0000A30368;-;--;--;10/06/2026;D
HVbg 0,39% Anleihe 20-27/S.201;87.900;-0.11%-0.100;03/11/202417:01:34;AT0000A2HTS3;-;--;--;08/05/2027;D
HVbg 1,875% Green 22-27/S.236;95.550;-0.05%-0.050;03/11/202417:01:34;AT0000A2XMH8;-;--;--;06/30/2027;D
HVbg 3,5% KMUAnl.22-27/S.249;99.750;-0.15%-0.150;03/11/202417:01:34;AT0000A31LF6;-;--;--;02/25/2027;D
