Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HWBB 4,00% WB-WA 23-34/12 NOE;101.440;+0.28%+0.280;02/13/202410:26:54;AT0000A372V1;-;106.00024,000;104.480-;04/11/2034;q
HYPO NOE 3,8% SV 23-26/03;98.430;+0.07%+0.070;02/13/202410:26:53;AT0000A35A00;-;98.430100,000;100.080-;06/09/2026;q
Hypo-WBB WA NOE. 15-28/20;93.800;+0.06%+0.060;02/13/202410:26:53;AT0000A1HQ72;-;94.3009,000;95.650-;12/18/2028;q
Hypo-WBB WA NOE. 15-27/7;96.850;+0.03%+0.030;02/13/202410:26:53;AT0000A1CBD6;-;96.850100,000;98.500-;01/21/2027;q
1,65% Hypo-WBB WA NOE19-31/4S1;84.050;+0.24%+0.200;02/13/202410:26:53;AT0000A25YR6;-;84.050100,000;86.200-;07/23/2031;q
Hypo-WBB WA NOE. 15-30/6;87.510;+0.17%+0.150;02/13/202410:26:53;AT0000A1CBC8;-;87.510100,000;89.460-;01/21/2030;q
Hypo-WBB St.Zi.WA NOE19-31/5S2;86.590;+0.23%+0.200;02/13/202410:26:53;AT0000A25YS4;-;86.590100,000;88.740-;07/23/2031;q
Hypo-WBB WA NOE. 15-30/19;88.330;+0.20%+0.180;02/13/202410:26:53;AT0000A1HQ64;-;88.330100,000;90.380-;12/17/2030;q
Hypo-WBB WA NOE. 14-29/8;92.110;+0.14%+0.130;02/13/202410:26:52;AT0000A15VS1;-;94.55020,000;94.060-;03/12/2029;q
Hypo-WBB WA NOE. 14-26/9;97.200;+0.01%+0.010;02/13/202410:26:52;AT0000A15VT9;-;97.4009,000;98.850-;03/12/2026;q
Hypo-WBB WA NOE. 12-27/1;98.840;+0.09%+0.090;02/13/202410:26:51;AT0000A0V446;-;98.840100,000;100.590-;04/04/2027;q
Hypo-WBB WA NOE. 13-28/17;95.100;+0.16%+0.150;02/13/202410:26:51;AT0000A0ZK93;-;95.3004,000;96.950-;03/05/2028;q
Hypo-WBB WA NOE. 11-26/15;98.290;+0.07%+0.070;02/13/202410:26:51;AT0000A0MQY1;-;98.8005,000;99.940-;04/01/2026;q
Hypo-WBB WA NOE. 13-25/16;98.700;0.00%0.000;02/13/202410:26:51;AT0000A0ZK85;-;98.8009,000;99.950-;03/05/2025;q
var. Hypo-WBB WA NOe 05-26/28;95.160;+0.04%+0.040;02/13/202410:26:51;AT0000491188;-;95.160100,000;96.410-;01/01/2026;q
Hypo-WBB WA NOE. 13-25/15;96.810;+0.03%+0.030;02/13/202410:26:51;AT0000A0ZK77;-;96.9009,000;98.060-;03/05/2025;q
Hypo-WBB WA NOE. 12-27/2;95.120;+0.08%+0.080;02/13/202410:26:51;AT0000A0V453;-;95.5009,000;96.870-;04/04/2027;q
3,5% Hypo-WBB WA NOe 05-25/26;97.750;+0.03%+0.030;02/13/202410:26:50;AT0000491162;-;97.750100,000;99.000-;06/01/2025;q
Wienerberger 2% Bonds 18-24;98.970;-0.29%-0.290;02/13/202409:55:55;AT0000A20F93;88,000;98.97036,000;99.570100,000;05/02/2024;C
UBM 3,125% Sustain-Li-Bd.21-26;84.000;-0.98%-0.830;02/13/202409:19:37;AT0000A2QS11;26,000;84.50020,000;85.66050,000;05/21/2026;C
HYPO-WOHN.WANDEL 17-28/6;93.350;+1.69%+1.550;02/13/202409:18:59;AT0000A1TMZ0;10,000;91.8501,000,000;93.350-;02/21/2028;q
1,375%voestalpine-Anl.17-24/S1;98.470;+0.22%+0.220;02/13/202409:15:59;AT0000A1Y3P7;159,000;98.290100,000;98.560100,000;09/27/2024;C
HVbg 3,75% Anl 23-25/DIP S.258;98.900;0.00%0.000;02/13/202409:15:00;AT0000A32T77;30,000;98.900985,000;99.900-;03/27/2025;q
HVbg MiniMax-Anl. 22-27/S.237;97.550;+1.56%+1.500;02/13/202409:15:00;AT0000A2YBF3;20,000;96.0501,000,000;97.550-;06/30/2027;q
OMV 2% Anleihe 20-28/S.16;95.700;-0.03%-0.030;02/13/202409:05:33;XS2154347707;-;95.570300,000;95.890100,000;04/09/2028;C
Wienerberger Sust.Link.B.23-28;104.270;-0.01%-0.010;02/13/202409:05:32;AT0000A37249;-;104.090100,000;104.550200,000;10/04/2028;C
UBM 2,75% Anleihe 2019-2025;89.900;0.00%0.000;02/13/202409:05:31;AT0000A2AX04;-;89.7001,500;90.1003,500;11/13/2025;C
AT&S Unda.Res.Fixed.Subo.Notes;88.730;0.00%0.000;02/13/202409:05:31;XS2432941693;-;87.880100,000;90.080100,000;open-end;C
OMV 15y Notes 19-34;77.380;0.00%0.000;02/13/202409:05:29;XS2022093517;-;77.170300,000;77.680200,000;07/03/2034;C
CA Immo 1% Green Bonds 20-25;92.490;0.00%0.000;02/13/202409:05:28;XS2248827771;-;91.850100,000;93.050100,000;10/27/2025;C
Wienerberger 2,75% Bonds 20-25;98.100;0.00%0.000;02/13/202409:05:27;AT0000A2GLA0;-;97.520100,000;98.690100,000;06/04/2025;C
voestalpine 1,75% Anl.19-26/S1;95.400;-0.01%-0.010;02/13/202409:05:24;AT0000A27LQ1;-;95.0002,000;95.800100,000;04/10/2026;C
PORR Und.Res,Fix R.Subo.N.2024;103.630;0.00%0.000;02/13/202409:05:24;AT0000A39724;-;103.500100,000;104.130100,000;open-end;C
OMV 1% Fi.Rate Notes 17-26/S.9;94.380;-0.02%-0.020;02/13/202409:05:23;XS1734689620;-;94.310285,000;94.480100,000;12/14/2026;C
CA Immo 0,875% Anleihe 20-27;90.110;-0.01%-0.010;02/13/202409:05:23;XS2099128055;-;88.810100,000;91.430100,000;02/05/2027;C
VERBUND 1,50 %  Notes 14-24;99.100;+0.06%+0.060;02/13/202409:05:23;XS1140300663;-;98.190100,000;99.960100,000;11/20/2024;C
Pierer Industrie 2,5%Anl.20-28;93.760;0.00%0.000;02/13/202409:05:21;AT0000A2JSQ5;-;91.760100,000;95.76020,000;04/22/2028;C
OMV 0,75% Anleihe 20-30/S.19;85.460;-0.02%-0.020;02/13/202409:05:20;XS2189613982;-;85.380300,000;85.630300,000;06/16/2030;C
VERBUND 0,9%Green+Sust.N.21-41;67.260;+0.21%+0.140;02/13/202409:05:17;XS2320746394;-;66.670100,000;67.810100,000;04/01/2041;C
OMV 2,375% Anleihe 20-32/S.17;93.510;-0.03%-0.030;02/13/202409:05:17;XS2154348424;-;93.320300,000;93.770300,000;04/09/2032;C
OMV 1,5% Anleihe 20-24/S.15;99.900;+0.01%+0.010;02/13/202409:05:16;XS2154347293;-;99.660200,000;100.090100,000;04/09/2024;C
OMV 3,5% Anl. 12-27/S.6;100.850;-0.03%-0.030;02/13/202409:05:14;XS0834371469;-;100.780300,000;100.980100,000;09/27/2027;C
Telek.Fin.1,5% Anl. 16-26;96.030;-0.02%-0.020;02/13/202409:05:11;XS1405762805;-;95.490100,000;96.590100,000;12/07/2026;C
Borealis 1,75 % Notes 18-25;96.730;0.00%0.000;02/13/202409:05:11;AT0000A24UY3;-;95.60020,000;97.860100,000;12/10/2025;C
OMV AG 1.875% Notes 18-28/S11;93.850;-0.02%-0.020;02/13/202409:05:08;XS1917590959;-;93.770300,000;93.990100,000;12/04/2028;C
