Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
02/13/2024 11:35:54;Delta Option Trade;WMAZ;Jul24;3800;C;3;28.1;60025;4310
02/13/2024 11:35:54;Delta Option Trade;WMAZ;Jul24;3840;C;1;28.2;57160;4310
02/13/2024 11:35:54;Delta Option Trade;WMAZ;Jul24;4000;C;3;28.6;46607;4310
02/13/2024 10:59:26;Delta Option Trade;YMAZ;Jul24;4200;C;10;24.5;8544.02;3794.4
02/13/2024 10:59:32;Delta Option Trade;YMAZ;Jul24;3200;P;10;23.5;2726.6;3794.4
02/13/2024 09:57:30;Delta Option Trade;WMAZ;Jul24;4360;P;20;28.54;30755;4339.2198
02/13/2024 12:08:34;Delta Option Trade;WMAZ;Mar24;4200;C;9;42.5;25920;4417.12
02/13/2024 09:12:56;Delta Option Trade;WMAZ;Mar24;4340;C;30;38.99;16100;4426
02/13/2024 09:13:10;Delta Option Trade;WMAZ;Mar24;4040;P;30;40.67;1150;4426
02/13/2024 09:17:05;Delta Option Trade;WMAZ;Mar24;4000;C;5;37.84;43000;4424
02/13/2024 09:34:02;Delta Option Trade;WMAZ;Mar24;3760;C;3;37.69;63650;4396
02/13/2024 09:42:32;Delta Option Trade;WMAZ;Jul24;4400;P;6;28.03;30500;4380
02/13/2024 09:49:28;Delta Option Trade;WMAZ;Dec24;3900;C;5;21.72;70800;4502
02/13/2024 10:05:31;Delta Option Trade;WMAZ;Jul24;4300;P;5;28.02;30100;4274
02/13/2024 10:19:16;Delta Option Trade;WMAZ;Jul24;4700;C;5;26.98;14500;4335
02/13/2024 12:07:39;Delta Option Trade;YMAZ;Jul24;4200;C;10;24.15;8485;3802
02/13/2024 12:07:16;Delta Option Trade;WMAZ;Mar24;3880;C;5;39;44527;4320
02/13/2024 11:06:34;Delta Option Trade;SOYA;May24;8740;C;10;25.5;9199;8247
02/13/2024 11:06:54;Delta Option Trade;WMAZ;Jul24;4800;C;5;28.8;12272;4292
02/13/2024 10:26:46;Delta Option Trade;YMAZ;Jul24;3820;P;1;23.5;22477;3800
02/13/2024 10:51:41;Delta Option Trade;YMAZ;Jul24;3500;P;5;23.5;9069;3795
02/13/2024 11:55:05;Delta Option Trade;YMAZ;Jul24;3760;P;3;127.9999;20252;3780
02/13/2024 10:53:56;Delta Option Trade;WMAZ;Mar24;4600;C;4;40.5;3088;4335
02/13/2024 11:48:43;Structured Trade;WMAZ;Mar24;3960;C;4;38;36070;4310
02/13/2024 10:19:19;Delta Option Trade;WMAZ;Jul24;4400;P;5;127.9999;32700;4335
02/13/2024 10:10:44;Delta Option Trade;WMAZ;Jul24;3500;P;25;28;2876;4370
02/13/2024 12:03:33;Delta Option Trade;WMAZ;Jul24;4280;P;4;25.5;26158;4280
02/13/2024 12:11:02;Delta Option Trade;WMAZ;Jul24;3500;P;25;27.6;2721;4370
02/13/2024 12:11:17;Delta Option Trade;WMAZ;Jul24;4300;C;50;28.45;33184;4370
02/13/2024 11:48:47;Structured Trade;WMAZ;Mar24;4100;P;4;39.5;3518;4310
02/13/2024 10:35:58;Delta Option Trade;WMAZ;Jul24;4240;P;5;28.5;28955;4240
02/13/2024 11:35:23;Delta Option Trade;WMAZ;Mar24;4120;P;10;39.5;3889;4315
02/13/2024 12:07:39;Delta Option Trade;YMAZ;Jul24;3800;P;10;24;21767;3802
02/13/2024 12:10:35;Delta Option Trade;WMAZ;Jul24;4000;P;10;28.5;15218;4320
02/13/2024 10:03:56;Delta Option Trade;WMAZ;Mar24;3800;C;3;36.5;56592;4365
02/13/2024 10:09:15;Delta Option Trade;WMAZ;Mar24;3700;C;3;36.5;64529;4345
02/13/2024 10:32:03;Delta Option Trade;WMAZ;Jul24;3940;C;54;26.75;46104;4271.03
02/13/2024 10:33:05;Delta Option Trade;WMAZ;Jul24;3920;C;26;26.75;47441;4271.03
02/13/2024 10:34:35;Delta Option Trade;SOYA;May24;7720;C;2;21;36837;8380
02/13/2024 11:01:47;Delta Option Trade;WMAZ;Jul24;4360;P;1;27;31674;4289
02/13/2024 11:19:12;Delta Option Trade;WMAZ;Jul24;4000;C;30;27;45169;4310
02/13/2024 11:33:27;Delta Option Trade;YMAZ;Jul24;3500;P;50;22;8080;3790.63
02/13/2024 09:32:50;Delta Option Trade;WMAZ;Jul24;4600;C;10;28.5;19869;4355
02/13/2024 10:12:55;Delta Option Trade;WMAZ;Jul24;3640;C;1;26.75;77265;4372
02/13/2024 11:29:10;Delta Option Trade;WMAZ;Jul24;4500;C;5;27.5;19188;4278.6
02/13/2024 10:35:31;Delta Option Trade;WMAZ;Mar24;4100;C;4;38.5;33587;4420
02/13/2024 10:38:28;Delta Option Trade;YMAZ;Mar24;3940;C;2;35.25;3825;3805
02/13/2024 10:39:26;Delta Option Trade;YMAZ;Mar24;3960;C;4;35.25;3322;3805
02/13/2024 10:40:05;Delta Option Trade;WMAZ;Jul24;3760;C;5;26.75;65449;4350
02/13/2024 10:51:41;Delta Option Trade;YMAZ;Jul24;4000;C;5;23.5;13207;3795
02/13/2024 10:52:01;Delta Option Trade;WMAZ;Mar24;4100;C;2;38.5;35374;4440
02/13/2024 10:52:33;Delta Option Trade;YMAZ;Jul24;3680;C;60;21.5;25557;3795
02/13/2024 10:52:33;Delta Option Trade;YMAZ;Jul24;3740;C;40;21.5;22293;3795
02/13/2024 10:53:47;Delta Option Trade;WMAZ;Mar24;4500;C;1;38.5;8613;4440
02/13/2024 10:53:53;Delta Option Trade;WMAZ;Mar24;4000;C;1;38.5;44571;4440
02/13/2024 11:55:07;Delta Option Trade;YMAZ;Mar24;3660;P;3;35.25;3675;3790
02/13/2024 10:20:13;Delta Option Trade;WMAZ;Jul24;4320;P;40;28;27386;4355
02/13/2024 09:49:28;Delta Option Trade;WMAZ;Dec24;4520;C;13;24.55;38400;4507
02/13/2024 10:29:36;Delta Option Trade;WMAZ;Jul24;4240;P;20;28.98;28800;4254
02/13/2024 11:10:21;Delta Option Trade;WMAZ;Jul24;4300;P;20;29.01;29800;4302
02/13/2024 09:32:38;Delta Option Trade;WMAZ;Jul24;3800;P;30;28.02;8300;4344
02/13/2024 09:38:59;Delta Option Trade;WMAZ;Jul24;4100;P;10;28;17593.43;4349.5
02/13/2024 11:35:54;Delta Option Trade;WMAZ;Jul24;4400;C;7;30;27007;4310
02/13/2024 10:29:38;Delta Option Trade;WMAZ;Dec24;3900;P;30;24;14974.9;4425
02/13/2024 10:29:42;Delta Option Trade;WMAZ;Jul24;4600;C;30;28;15930.81;4265
02/13/2024 11:19:03;Delta Option Trade;WMAZ;Jul24;4600;C;30;28.5;18087;4310
02/13/2024 10:59:30;Delta Option Trade;YMAZ;Jul24;3800;P;10;25;23034.49;3794.4
02/13/2024 09:59:28;Delta Option Trade;WMAZ;Jul24;4000;P;40;27.59;15000;4300
02/13/2024 10:16:59;Delta Option Trade;WMAZ;Jul24;4000;P;50;27.75;16391;4260
02/13/2024 11:03:04;Delta Option Trade;WMAZ;Mar24;3700;C;1;36.5;64529;4345
02/13/2024 09:56:07;Delta Option Trade;WMAZ;Jul24;4360;P;10;28.5;30533;4343.88
02/13/2024 09:57:39;Delta Option Trade;WMAZ;Jul24;4360;P;20;28.5;32874;4295.84
02/13/2024 10:00:05;Delta Option Trade;WMAZ;Jul24;4360;P;5;28.5;33980;4274
