Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
Hypo-WBB WA NOE. 15-28/20;93.920;-0.02%-0.020;03/12/202410:22:00;AT0000A1HQ72;-;94.0009,000;95.770-;12/18/2028;q
Hypo-WBB St.Zi.WA NOE19-31/5S2;87.610;-0.03%-0.030;03/12/202410:22:00;AT0000A25YS4;-;87.610100,000;89.760-;07/23/2031;q
Hypo-WBB WA NOE. 15-27/7;96.440;-0.04%-0.040;03/12/202410:21:59;AT0000A1CBD6;-;96.440100,000;98.090-;01/21/2027;q
Hypo-WBB WA NOE. 15-30/6;88.200;0.00%0.000;03/12/202410:21:59;AT0000A1CBC8;-;88.200100,000;90.150-;01/21/2030;q
Hypo-WBB WA NOE. 15-30/19;89.050;0.00%0.000;03/12/202410:21:59;AT0000A1HQ64;-;89.050100,000;91.100-;12/17/2030;q
Hypo-WBB WA NOE. 12-27/1;98.880;-0.03%-0.030;03/12/202410:21:58;AT0000A0V446;-;98.880100,000;100.630-;04/04/2027;q
Hypo-WBB WA NOE. 13-28/17;95.670;-0.11%-0.110;03/12/202410:21:59;AT0000A0ZK93;-;95.670100,000;97.420-;03/05/2028;q
Hypo-WBB WA NOE. 11-26/15;98.200;-0.02%-0.020;03/12/202410:21:58;AT0000A0MQY1;-;98.200109,000;99.850-;04/01/2026;q
Hypo-WBB WA NOE. 13-25/16;98.920;0.00%0.000;03/12/202410:21:58;AT0000A0ZK85;-;99.0009,000;99.920-;03/05/2025;q
var. Hypo-WBB WA NOe 05-26/28;95.020;-0.02%-0.020;03/12/202410:21:58;AT0000491188;-;95.020100,000;96.270-;01/01/2026;q
Hypo-WBB WA NOE. 13-25/15;97.110;-0.02%-0.020;03/12/202410:21:58;AT0000A0ZK77;-;97.2009,000;98.110-;03/05/2025;q
Hypo-WBB WA NOE. 14-29/8;92.660;+0.08%+0.070;03/12/202410:21:59;AT0000A15VS1;-;95.60015,000;94.510-;03/12/2029;q
Hypo-WBB WA NOE. 12-27/2;95.220;-0.01%-0.010;03/12/202410:21:58;AT0000A0V453;-;96.5005,000;96.970-;04/04/2027;q
3,5% Hypo-WBB WA NOe 05-25/26;97.720;-0.03%-0.030;03/12/202410:21:57;AT0000491162;-;97.720100,000;98.970-;06/01/2025;q
Telek.Fin.1,5% Anl. 16-26;96.100;-0.03%-0.030;03/12/202409:05:33;XS1405762805;-;95.570100,000;96.630100,000;12/07/2026;C
OMV 2,375% Anleihe 20-32/S.17;94.520;-0.08%-0.080;03/12/202409:05:33;XS2154348424;-;94.450300,000;94.830300,000;04/09/2032;C
voestalpine 1,75% Anl.19-26/S1;95.980;-0.03%-0.030;03/12/202409:05:32;AT0000A27LQ1;-;95.510100,000;96.42047,500;04/10/2026;C
CA Immo 1% Green Bonds 20-25;92.610;0.00%0.000;03/12/202409:05:29;XS2248827771;-;91.950100,000;93.260100,000;10/27/2025;C
OMV AG 1.875% Notes 18-28/S11;94.300;-0.06%-0.060;03/12/202409:05:28;XS1917590959;-;94.210300,000;94.440100,000;12/04/2028;C
OMV 6y Notes 19-25;95.650;+0.01%+0.010;03/12/202409:05:27;XS2022093434;-;95.550500,000;95.810100,000;07/03/2025;C
OMV 1% Fi.Rate Notes 17-26/S.9;94.500;-0.02%-0.020;03/12/202409:05:26;XS1734689620;-;94.430285,000;94.61090,000;12/14/2026;C
Borealis 1,75 % Notes 18-25;96.760;0.00%0.000;03/12/202409:05:25;AT0000A24UY3;-;95.65025,000;97.870100,000;12/10/2025;C
CA Immo 0,875% Anleihe 20-27;90.390;-0.02%-0.020;03/12/202409:05:24;XS2099128055;-;89.150100,000;91.780100,000;02/05/2027;C
AT&S Unda.Res.Fixed.Subo.Notes;88.870;0.00%0.000;03/12/202409:05:24;XS2432941693;-;87.880100,000;89.340100,000;open-end;C
OMV 3,5% Anl. 12-27/S.6;101.000;-0.03%-0.030;03/12/202409:05:23;XS0834371469;-;100.870300,000;101.090100,000;09/27/2027;C
OMV 1,5% Anleihe 20-24/S.15;100.070;+0.01%+0.010;03/12/202409:05:22;XS2154347293;-;99.860190,000;100.280100,000;04/09/2024;C
OMV 2% Anleihe 20-28/S.16;96.000;-0.03%-0.030;03/12/202409:05:21;XS2154347707;-;95.840300,000;96.20055,000;04/09/2028;C
Wienerberger 2% Bonds 18-24;99.480;+0.09%+0.090;03/12/202409:05:21;AT0000A20F93;-;99.23026,000;99.72075,000;05/02/2024;C
OMV 0,75% Anleihe 20-30/S.19;86.230;-0.07%-0.060;03/12/202409:05:19;XS2189613982;-;86.180300,000;86.440300,000;06/16/2030;C
Wienerberger 2,75% Bonds 20-25;98.130;-0.02%-0.020;03/12/202409:05:14;AT0000A2GLA0;-;97.570100,000;98.750100,000;06/04/2025;C
VERBUND 0,9%Green+Sust.N.21-41;67.820;+0.07%+0.050;03/12/202409:05:14;XS2320746394;-;67.220100,000;68.490100,000;04/01/2041;C
1,375%voestalpine-Anl.17-24/S1;98.580;0.00%0.000;03/12/202409:05:11;AT0000A1Y3P7;-;98.44081,500;98.72084,500;09/27/2024;C
OMV 15y Notes 19-34;78.350;-0.11%-0.090;03/12/202409:05:10;XS2022093517;-;78.270300,000;78.720180,000;07/03/2034;C
Pierer Industrie 2,5%Anl.20-28;93.130;0.00%0.000;03/12/202409:05:07;AT0000A2JSQ5;-;92.26086,000;94.00050,000;04/22/2028;C
VERBUND 1,50 %  Notes 14-24;99.240;+0.02%+0.020;03/12/202409:05:06;XS1140300663;-;98.360100,000;100.140100,000;11/20/2024;C
Wienerberger Sust.Link.B.23-28;104.790;-0.05%-0.050;03/12/202409:05:05;AT0000A37249;-;104.590100,000;105.08038,000;10/04/2028;C
PORR Und.Res,Fix R.Subo.N.2024;104.570;+0.12%+0.130;03/12/202409:05:05;AT0000A39724;-;103.750100,000;105.380100,000;open-end;C
HypoVbg 0,36% IHS 20-26/S.182;91.850;-0.05%-0.050;03/11/202417:01:38;XS2100387526;-;91.8501,000,000;93.850-;01/09/2026;q
HVbg 1,02% SV 20-35/DIP S183;70.000;-0.43%-0.300;03/11/202417:01:38;XS2104132514;-;70.1001,000,000;72.100-;01/17/2035;q
HVbg 0,23% Notes 21-29/S.219;81.300;-0.25%-0.200;03/11/202417:01:38;XS2327980509;-;81.3501,000,000;83.350-;04/06/2029;q
HVbg 0,375% Notes 20-30/S.212;77.150;-0.32%-0.250;03/11/202417:01:38;XS2252219105;-;77.2001,000,000;79.200-;11/04/2030;q
HVbg 0,02% Notes 20-24/S.208;95.950;0.00%0.000;03/11/202417:01:38;XS2240271846;-;96.0001,000,000;98.000-;10/01/2024;q
HVbg 1,8% CZKGreenBd 20-25/186;94.750;+0.05%+0.050;03/11/202417:01:38;XS2126053953;-;94.7503,000,000;96.750-;03/05/2025;q
HVbg Fix/Swap-li-FRN 18-28/159;90.000;-0.06%-0.050;03/11/202417:01:37;XS1877653581;-;90.000100,000;93.000-;09/13/2028;q
HVbg var-SV 19-29/S.170;93.350;-0.05%-0.050;03/11/202417:01:37;XS2002726847;-;93.3501,000,000;95.350-;05/27/2029;q
HVbg 0,86% Anl. 19-34/S.179;70.350;-0.42%-0.300;03/11/202417:01:37;XS2069329964;-;70.4501,000,000;72.450-;10/24/2034;q
HVbg Fix/Swap-li-FRN 18-28/158;88.900;-0.06%-0.050;03/11/202417:01:37;XS1859330752;-;88.850100,000;91.850-;07/24/2028;q
HVbg var SV 19-29/S.175;94.500;0.00%0.000;03/11/202417:01:37;XS2037749749;-;94.5001,000,000;96.500-;08/07/2029;q
